,0,1,2,3,4,5
1,"Categoria merceologica: 2009 - verdure a frutto e a fiore (sedano, finocchi, cardi, carciofi, peperoni, etc)",,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,03,6046,,
6,"Energia, ricalcolata, kJ",213,86,,,
7,"Energia, Ric con fibra, kJ",231,86,,,
8,"Energia, ricalcolata, kcal",50,86,,,
9,"Energia, Ric con fibra, kcal",55,86,,,
10,"Proteine totali, g",0.9,03,6046,,in tab prot=prot pure=0.9 Ntot=0.14 FC=6.25
11,"Proteine animali, g",0.0,03,6046,,
12,"Proteine vegetali, g",0.9,03,6046,,
13,"Lipidi totali, g",0.4,03,6046,,
14,"Lipidi animali, g",0.0,03,6046,,
15,"Lipidi vegetali, g",0.4,03,6046,,
16,"Colesterolo, mg",0,03,6046,,
17,"Carboidrati disponibili (MSE), g",11.4,03,6046,,
18,"Amido (MSE), g",0.0,03,6046,,
19,"Carboidrati solubili (MSE), g",11.4,03,6046,,
20,"Fibra alimentare totale, g",2.3,03,6046,,
21,"Alcol, g",0.0,03,6046,,
22,"Acqua, g",82.0,03,6046,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",1.0,03,6046,,
25,"Calcio, mg",15,03,6046,,
26,"Sodio, mg",3,03,6046,,
27,"Potassio, mg",225,03,6046,,
28,"Fosforo, mg",31,03,6046,,
29,"Zinco, mg",0.70,09,383,,per i nutrienti 09/383 ALIMENTO SIMILE Tomato pure' acqua=71.9g
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",0.07,03,6046,,
32,"Vitamina B2, Riboflavina, mg",0.06,03,6046,,
33,"Vitamina C, mg",28,03,6046,,
34,"Niacina, mg",0.90,03,6046,,
35,"Vitamina B6, mg",0.44,09,383,,
36,"Folati totali, µg",54,09,383,,
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",1083,03,6046,,
40,"Retinolo, µg",0,03,6046,,
41,"ß-carotene eq., µg",6500,03,6046,,
42,"Vitamina E (ATE), mg",5.37,09,383,,
43,"Vitamina D, µg",0.00,09,383,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",0.06,21,11546,,"RIPR riferito a Tomato, paste, canned lip=0.89g saturi=0.127g 18:1=0.131g mono=0.134g 18:2=0.347g 18:3=0.014g altri PUFA=0.001g PUFA=0.362g"
46,"Acidi grassi monoinsaturi totali, g",0.06,21,11546,,
47,"Acido oleico, g",0.06,21,11546,,
48,"Acidi grassi polinsaturi totali, g",0.16,21,11546,,
49,"Acido linoleico, g",0.16,21,11546,,
50,"Acido linolenico, g",0.01,21,11546,,
51,"Altri acidi grassi polinsaturi, g",0.00,86,,,
