,0,1,2,3,4,5
1,"Categoria merceologica: 4003 - frutta secca e in guscio, semi edibili",,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,DT,8610,,
6,"Energia, ricalcolata, kJ",2339,86,,,
7,"Energia, Ric con fibra, kJ",2462,86,,,
8,"Energia, ricalcolata, kcal",565,86,,,
9,"Energia, Ric con fibra, kcal",595,86,,,
10,"Proteine totali, g",24.3,DT,8610,,
11,"Proteine animali, g",0.0,LZ,,,
12,"Proteine vegetali, g",24.3,DT,8610,,
13,"Lipidi totali, g",48.9,DT,8610,,
14,"Lipidi animali, g",0.0,LZ,,,
15,"Lipidi vegetali, g",48.9,DT,8610,,
16,"Colesterolo, mg",0,LZ,,,
17,"Carboidrati disponibili (MSE), g",7.3,DT,8610,,
18,"Amido (MSE), g",tr,DT,8610,,
19,"Carboidrati solubili (MSE), g",7.3,DT,8610,,
20,"Fibra alimentare totale, g",15.3,DT,8610,,
21,"Alcol, g",0.0,LZ,,,
22,"Acqua, g",5.3,DT,8610,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",4.5,DT,8610,,
25,"Calcio, mg",114,DT,8610,,
26,"Sodio, mg",tr,DT,8610,,
27,"Potassio, mg",962,DT,8610,,
28,"Fosforo, mg",416,DT,8610,,
29,"Zinco, mg",2.10,DT,8610,,
30,"Magnesio, mg",121,DT,8610,,
31,"Rame, mg",1.20,DT,8610,,
32,"Selenio, µg",8.0,AO,008600,2,"""Pistacchi"" WATER 3.9g, PROT 18.1g, FAT 56.1g, CHO 8.1g, SUGAR 4.3g"
33,"Cloro, mg",7,BF,1018,2,"""Peanuts, plain"" WATER 6.3g, PROT 25.6g, FAT 46.1g, CHO 12.5g, SUGAR 6.2g, STARCH 6.3g"
34,"Iodio, µg",6,DM,,2,"""Pistachio nut, roasted, salted"" WATER 1.97g, PROT 24.9g, FAT 46.4g, CHO 12g, SUGAR 5.4g, STARCH 2.05g"
35,"Manganese, mg",0.30,DT,8610,,
36,"Zolfo, mg",160,DO,11B10167,2,"""Nut, pistachio, unsalted"" WATER 3.8g, PROT 19.7g, FAT 50.6g, CHO 6.8g, SUGAR 5.9g, STARCH 0.9g"
37,VITAMINE IDROSOLUBILI,,,,,
38,"Vitamina B1, Tiamina, mg",0.51,DT,8610,,
39,"Vitamina B2, Riboflavina, mg",0.19,DT,8610,,
40,"Vitamina C, mg",2,AO,008600,2,"""Pistacchi"" WATER 3.9g, PROT 18.1g, FAT 56.1g, CHO 8.1g, SUGAR 4.3g"
41,"Niacina, mg",1.40,AO,008600,2,"""Pistacchi"" WATER 3.9g, PROT 18.1g, FAT 56.1g, CHO 8.1g, SUGAR 4.3g"
42,"Vitamina B6, mg",1.89,DT,8610,,
43,"Folati totali, µg",51,DI,12151,2,"""Nuts, pistachio nuts, raw"" WATER 3.91g, PROT 20.27g, FAT 45.39g, CHO 27.51g, SUGAR 7.66g, STARCH 1.67g"
44,"Acido pantotenico, mg",0.52,DI,12151,2,"""Nuts, pistachio nuts, raw"" WATER 3.91g, PROT 20.27g, FAT 45.39g, CHO 27.51g, SUGAR 7.66g, STARCH 1.67g"
45,"Biotina, µg",30.0,DO,11B10167,2,"""Nut, pistachio, unsalted"" WATER 3.8g, PROT 19.7g, FAT 50.6g, CHO 6.8g, SUGAR 5.9g, STARCH 0.9g"
46,"Vitamina B12, µg",0.0,LZ,,,
47,VITAMINE LIPOSOLUBILI,,,,,
48,Retinolo equivalente,,,,,
49,"Retinolo eq. (RE), µg",33,DT,8610,,
50,"Retinolo, µg",0,LZ,,,
51,"ß-carotene eq., µg",200,DT,8610,,
52,"Vitamina E (ATE), mg",0.14,DT,8610,,
53,"Vitamina D, µg",0.00,LZ,,,
54,"Vitamina K, µg",60.00,DB,,2,"""Pistachio"" WATER 5.9g, PROT 20.8g, FAT 51.6g, CHO 11.6g"
55,ACIDI GRASSI,,,,,
56,"Acidi grassi saturi totali, g",5.43,DT,8610,,
57,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",0.00,87,,,
58,"Acido laurico, g",0.00,87,,,
59,"Acido miristico, g",0.04,DT,8610,,
60,"Acido palmitico, g",4.35,DT,8610,,
61,"Acido stearico, g",0.91,DT,8610,,
62,"Acido arachidico, g",0.08,DT,8610,,
63,"Acido beenico, g",0.04,DT,8610,,
64,"Acidi grassi monoinsaturi totali, g",33.73,DT,8610,,
65,"Acido miristoleico, g",0.00,87,,,
66,"Acido palmitoleico, g",0.41,DT,8610,,
