Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (30g),Fruits and vegetables based foods,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,18 g,"5,4 g","+878%1,84 g","+68%10,7 g","+87%9,61 g"
- Acidi Grassi saturi,2 g,"0,6 g","+755%0,234 g","-15%2,35 g","-5%2,11 g"
Carboidrati,11 g,"3,3 g","-63%29,5 g","-77%47,6 g","-75%43,9 g"
- Zuccheri,11 g,"3,3 g","-59%26,6 g","+28%8,57 g","+25%8,8 g"
Fibra alimentare,9 g,"2,7 g","+238%2,66 g","+107%4,35 g","+123%4,03 g"
Proteine,"4,5 g","1,35 g","+92%2,34 g","-42%7,75 g","-36%6,98 g"
Sale,"2,5 g","0,75 g","+823%0,271 g","+321%0,594 g","+368%0,534 g"
Sodio,"0,984 g","0,295 g","+823%0,107 g","+321%0,234 g","+368%0,21 g"
Alcol,0 % vol,0 % vol,?,0 % vol,0 % vol
Nutrition score - France,3,3,"+56%1,92","-3%3,1","-23%3,88"
Nutri-Score,C,C,B,C,C
