Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Fruits and vegetables based foods,Meals,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"0,2 g","-89%1,84 g","-98%8,64 g","-98%10,7 g","-98%9,61 g"
- Acidi Grassi saturi,"0,1 g","-57%0,234 g","-97%3,74 g","-96%2,36 g","-95%2,12 g"
Carboidrati,"7,6 g","-74%29,5 g","-70%25,1 g","-84%47,6 g","-83%43,9 g"
- Zuccheri,"7,6 g","-71%26,6 g","+115%3,53 g","-12%8,59 g","-14%8,81 g"
Fibra alimentare,"3,1 g","+17%2,66 g","+35%2,3 g","-29%4,38 g","-24%4,06 g"
Proteine,"1,1 g","-53%2,34 g","-87%8,41 g","-86%7,76 g",-84%7 g
Sale,"0,25 g","-8%0,271 g","-77%1,11 g","-58%0,593 g","-53%0,533 g"
Sodio,"0,098 g","-8%0,107 g","-77%0,437 g","-58%0,233 g","-53%0,21 g"
Nutrition score - France,-4,"-308%1,92","-162%6,45","-230%3,08","-203%3,87"
Nutri-Score,A,B,C,C,C
