,0,1,2,3,4,5
1,Categoria merceologica: 8002 - farine e amidi di cereali,,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,02,12,,
6,"Energia, ricalcolata, kJ",1461,86,,,
7,"Energia, Ric con fibra, kJ",1481,86,,,
8,"Energia, ricalcolata, kcal",343,86,,,
9,"Energia, Ric con fibra, kcal",348,86,,,
10,"Proteine totali, g",110,02,12,,
11,"Proteine animali, g",00,02,12,,
12,"Proteine vegetali, g",110,02,12,,
13,"Lipidi totali, g",07,02,12,,
14,"Lipidi animali, g",00,02,12,,
15,"Lipidi vegetali, g",07,02,12,,
16,"Colesterolo, mg",0,02,12,,
17,"Carboidrati disponibili (MSE), g",780,02,12,,
18,"Amido (MSE), g",763,D,,,
19,"Carboidrati solubili (MSE), g",17,02,12,,
20,"Fibra alimentare totale, g",25,02,12,,
21,"Alcol, g",00,02,12,,
22,"Acqua, g",142,02,12,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",07,02,12,,
25,"Calcio, mg",17,02,12,,
26,"Sodio, mg",3,02,12,,
27,"Potassio, mg",126,02,12,,
28,"Fosforo, mg",76,02,12,,
29,"Zinco, mg",060,07,31,,per i nutrienti idrosolubili 07/31 non RIPR acqua=14g
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",010,02,12,,
32,"Vitamina B2, Riboflavina, mg",003,02,12,,
33,"Vitamina C, mg",0,02,12,,
34,"Niacina, mg",100,02,12,,
35,"Vitamina B6, mg",015,07,31,,
36,"Folati totali, µg",22,07,31,,
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",0,02,12,,
40,"Retinolo, µg",0,02,12,,CALC
41,"ß-carotene eq., µg",0,02,12,,CALC
42,"Vitamina E (ATE), mg",016,07,31,,RIPR lip=1.3g vit E=0.3mg
43,"Vitamina D, µg",000,02,12,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",016,02,APP,,RIPR riferito a Frumento lip=1.0g saturi=0.23g 18:1=0.11g mono=0.11g 18:2=0.58g 18:3=0.03g altri PUFA=0 PUFA=0.61g
46,"Acidi grassi monoinsaturi totali, g",008,02,APP,,
47,"Acido oleico, g",008,02,APP,,
48,"Acidi grassi polinsaturi totali, g",043,02,APP,,
49,"Acido linoleico, g",041,02,APP,,
50,"Acido linolenico, g",002,02,APP,,
51,"Altri acidi grassi polinsaturi, g",000,86,,,
