name,acqua | g,calcio | g,carboidrati | g,colesterolo | g,ferro | g,fibre alimentari | g,fosforo | g,grassi | g,grassi monoinsaturi | g,grassi polinsaturi | g,grassi saturi | g,magnesio | g,manganese | g,potassio | g,proteine | g,rame | g,selenio | g,sodio | g,valore calorico | kcal,vitamina a | g,vitamina b1 | g,vitamina b11 | g,vitamina b12 | g,vitamina b2 | g,vitamina b3 | g,vitamina b5 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,vitamina e | g,vitamina k | g,zinco | g,zuccheri | g,category
mangostano scatola,79.57177740572925,0.011790269666044373,17.610147458645002,0.0,0.00030102816168623927,1.755997609836396,0.00787690356412326,0.5518849630914388,0.0,0.0,0.0,0.012793696871665173,0.00010034272056207978,0.04721125002445853,0.4013708822483191,5.017136028103989e-05,0.0,0.025085680140519945,71.74504520188704,0.0,5.017136028103989e-05,5.017136028103989e-05,0.0,5.017136028103989e-05,0.00030102816168623927,5.017136028103989e-05,5.017136028103989e-05,0.0028597675360192733,0.0,0.0,0.0,0.00020068544112415956,0.0,Conserve di frutta
lonza di maiale cruda,66.96365575378583,0.018045123070304998,0.0,0.06302964788063878,0.0007696971925722512,0.0,0.1971280032087821,12.571720812013432,5.644446078863174,1.3683505645728908,4.361617424576089,0.021038389930308196,8.552191028580567e-05,0.35619875634038056,19.755561276021112,8.552191028580567e-05,8.552191028580567e-05,0.04276095514290284,198.41083186306915,8.552191028580567e-05,0.0009407410131438623,8.552191028580567e-05,8.552191028580567e-05,0.00025656573085741695,0.004618183155433507,0.0006841752822864454,0.0005131314617148339,0.0005986533720006397,8.552191028580567e-05,0.00017104382057161135,0.0,0.0017104382057161133,0.0,Carne di maiale
romice,90.67758218526377,0.04288309262601399,3.1520905690916265,0.0,0.002345741818858885,2.8588728417342657,0.06142911388136704,0.6597398865540613,0.0,0.0,0.0,0.10042707161989602,0.0003665221591967008,0.38023008795065744,1.979219659662184,0.0001466088636786803,7.330443183934015e-05,0.03665221591967008,21.258285233408643,0.0,7.330443183934015e-05,7.330443183934015e-05,0.0,7.330443183934015e-05,0.0005131310228753811,7.330443183934015e-05,0.0001466088636786803,0.04676822751349901,0.0,0.0,0.0,0.00021991329551802042,0.0,Erbe e spezie
zucca dinverno cotta,86.89867614361656,0.021425018428512355,8.614954962513709,0.0,0.0004494759110876717,2.696855466526031,0.01850342500644249,0.3745632592397265,0.03745632592397265,0.1498253036958906,0.03745632592397265,0.012660238162302755,0.00014982530369589062,0.23470133823961262,0.8989518221753435,7.491265184794531e-05,7.491265184794531e-05,0.22473795554383588,35.95807288701374,0.0,7.491265184794531e-05,7.491265184794531e-05,0.0,7.491265184794531e-05,0.0004494759110876717,0.00022473795554383584,0.00014982530369589062,0.0017229909925027419,0.0,0.00014982530369589062,7.491265184794531e-05,0.00022473795554383584,3.221244029461648,Verdure
cola,90.31059452255235,0.002011129700472126,9.566454791434978,0.0,0.00010870971353903384,0.0,0.010001293645591113,0.01358871419237923,0.0,0.0,0.0,0.0,2.717742838475846e-05,0.002011129700472126,0.08153228515427537,2.717742838475846e-05,2.717742838475846e-05,0.01358871419237923,36.9613026032715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717742838475846e-05,8.968551366970292,Bevande gassate & bibite
patatine di taro,1.9415213761503514,0.05436259853220983,62.128684036811244,0.0,0.003883042752300703,7.7660855046014055,0.11649128256902108,23.298256513804212,3.8830427523007027,11.649128256902106,3.8830427523007027,0.07377781229371334,0.003883042752300703,0.6756494389003221,1.9415213761503514,0.003883042752300703,0.003883042752300703,1.9415213761503514,427.13470275307725,0.0,0.003883042752300703,0.003883042752300703,0.0,0.003883042752300703,0.003883042752300703,0.003883042752300703,0.003883042752300703,0.003883042752300703,0.0,0.011649128256902105,0.003883042752300703,0.003883042752300703,1.9415213761503514,Patatine
capesante fritte,47.86561001598296,0.012902903569525842,26.638252530633995,0.07492008524240812,0.0012486680873734684,0.0,0.2027004528502931,13.319126265316998,8.74067661161428,0.41622269579115617,3.3297815663292494,0.022059802876931277,0.00041622269579115614,0.20394912093766654,10.82179009057006,0.00041622269579115614,0.00041622269579115614,0.8324453915823123,266.3825253063399,0.00041622269579115614,0.00041622269579115614,0.00041622269579115614,0.00041622269579115614,0.00041622269579115614,0.0,0.00041622269579115614,0.00041622269579115614,0.0,0.0,0.0,0.0,0.0008324453915823123,0.0,Frutti di mare
lenticchie cotte,64.85917000016461,0.01768458877451914,18.201957063135392,0.0,0.0031042097316975087,7.337223002194111,0.16762732551166545,0.37626784626636467,0.047033480783295584,0.14110044234988675,0.047033480783295584,0.033534871798489754,0.0004703348078329558,0.34362661060275757,8.418993060209909,0.0002351674039164779,4.703348078329559e-05,0.23516740391647792,106.29566657024803,0.0,0.00014110044234988674,0.00018813392313318236,0.0,4.703348078329559e-05,0.0009877030964492075,0.0006114352501828427,0.00018813392313318236,0.0014110044234988675,0.0,9.406696156659118e-05,4.703348078329559e-05,0.0011758370195823896,1.693205308198641,Legumi
farina di orzo,11.038766420935914,0.029231146835327508,68.0210020239794,0.0,0.002466763446019199,9.188693836421516,0.27017226642525277,1.4800580676115191,0.1850072584514399,0.6783599476552797,0.30834543075239984,0.08763177141983204,0.0009250362922571996,0.28201273096614493,9.558708353324395,0.00030834543075239986,6.166908615047997e-05,0.030834543075239987,315.1290302289527,0.0,0.00030834543075239986,6.166908615047997e-05,0.0,0.00012333817230095995,0.005735225011994638,0.00012333817230095995,0.0003700145169028798,0.0,0.0,0.0004933526892038398,6.166908615047997e-05,0.0018500725845143993,0.7400290338057596,Farina
caviale,49.107344778790804,0.28430568029826253,3.8768956404308526,0.6080264662742387,0.012276836194697702,0.0,0.368305085840931,18.73832892874912,4.523044913835995,7.753791280861705,3.8768956404308526,0.3101516512344682,0.0006461492734051422,0.18738328928749123,25.19982166280054,0.0006461492734051422,0.0006461492734051422,1.2922985468102843,271.38269483015966,0.0006461492734051422,0.0006461492734051422,0.0006461492734051422,0.0006461492734051422,0.0006461492734051422,0.0006461492734051422,0.0038768956404308524,0.0006461492734051422,0.0,0.0006461492734051422,0.0019384478202154262,0.0006461492734051422,0.0012922985468102844,0.0,Pesce e prodotti ittici
bevanda energetica red bull,88.67894026723371,0.013018161695671911,10.958571934864116,0.0,3.886018416618481e-05,0.0,0.0,0.07772036833236962,0.0,0.0,0.0,0.0029922341807962303,3.886018416618481e-05,0.0029922341807962303,0.23316110499710885,3.886018416618481e-05,3.886018416618481e-05,0.019430092083092404,45.07781363277438,0.0,3.886018416618481e-05,0.0,3.886018416618481e-05,0.0005829027624927721,0.008510380332394473,0.0019041490241430556,0.0019430092083092404,0.0,0.0,0.0,0.0,0.0,10.10364788320805,Bevande energetiche
panino con cotoletta di pollo,46.41758833772121,0.03735854259996216,26.615957388814245,0.0,0.0015232023806851522,0.0,0.18382647678479233,14.109664157925621,3.206741854074005,6.734157893555411,2.645562029611054,0.02020247368066623,0.00024050563905555033,0.18687288154616263,11.864944860073818,8.016854635185012e-05,0.0,0.5611798244629508,280.5899122314754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005611798244629508,3.1265733077221545,Pietanze e piatti unici
hamburger vegetariano,59.01209885905345,0.13126055634069836,13.787873565199407,0.004825755747819792,0.002343938506083899,4.687877012167798,0.19882113681017546,6.066664368687739,1.6545448278239288,1.9303022991279168,1.3787873565199407,0.05404846437558168,0.0009651511495639585,0.3213953328047982,15.166660921719346,0.00013787873565199407,0.00013787873565199407,0.5515149426079763,170.96963220847263,0.0,0.002619695977387887,0.00013787873565199407,0.00013787873565199407,0.00027575747130398814,0.0035848471269518457,0.00027575747130398814,0.00027575747130398814,0.00441211954086381,0.0,0.00027575747130398814,0.00013787873565199407,0.0012409086208679467,0.9651511495639584,Hamburger e sandwich
