Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,"Come vendutoper porzione (23,5 g)",Pani,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"4,3 g","1,01 g","-47%8,05 g","-31%6,24 g","-60%10,7 g","-55%9,61 g"
- Acidi Grassi saturi,"0,7 g","0,164 g","-68%2,2 g","-59%1,7 g","-70%2,36 g","-67%2,12 g"
Carboidrati,"45,2 g","10,6 g","-23%58,6 g","-25%59,9 g","-5%47,6 g","+3%43,9 g"
- Zuccheri,"6,2 g","1,46 g","+91%3,25 g","-6%6,61 g","-28%8,59 g","-30%8,81 g"
Fibra alimentare,"0,8 g","0,188 g","-83%4,64 g","-83%4,75 g","-82%4,38 g","-80%4,06 g"
Proteine,"10,1 g","2,37 g","+12%9,02 g","+7%9,48 g","+30%7,76 g",+44%7 g
Sale,"1,4 g","0,329 g","-20%1,74 g","+92%0,729 g","+136%0,593 g","+163%0,533 g"
Sodio,"0,551 g","0,13 g","-20%0,685 g","+92%0,287 g","+136%0,233 g","+163%0,21 g"
Nutrition score - France,5,5,"-37%7,89","+63%3,06","+62%3,08","+29%3,87"
Nutri-Score,C,C,C,C,C,C
