,0,1,2,3,4,5
1,"Note Alimento: Nome originale.""Greek yogurt, cows""",,,,,
2,Categoria merceologica: 6002 - yogurt,,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",100,08,194,,
7,"Energia, ricalcolata, kJ",478,86,,,
8,"Energia, Ric con fibra, kJ",478,86,,,
9,"Energia, ricalcolata, kcal",115,86,,,
10,"Energia, Ric con fibra, kcal",115,86,,,
11,"Proteine totali, g",6.4,08,194,,
12,"Proteine animali, g",6.4,08,194,,
13,"Proteine vegetali, g",0.0,08,194,,
14,"Lipidi totali, g",9.1,08,194,,alcune varieta' di yogurt compatto contengono 4g di lipidi/100g
15,"Lipidi animali, g",9.1,08,194,,
16,"Lipidi vegetali, g",0.0,08,194,,
17,"Colesterolo, mg",15,AE,146,1,"Greek style yogurt lip 10,2, colest 16,7mg"
18,"Carboidrati disponibili (MSE), g",2.0,08,194,,
19,"Amido (MSE), g",0.0,08,194,,
20,"Carboidrati solubili (MSE), g",2.0,08,194,,
21,"Fibra alimentare totale, g",0.0,08,194,,
22,"Alcol, g",0.0,08,194,,
23,"Acqua, g",78.5,08,194,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",0.3,08,194,,
26,"Calcio, mg",150,08,194,,
27,"Sodio, mg",71,08,194,,
28,"Potassio, mg",150,08,194,,
29,"Fosforo, mg",130,08,194,,
30,"Zinco, mg",0.50,08,194,,
31,"Magnesio, mg",12,08,194,,
32,"Rame, mg",tr,08,194,,
33,"Selenio, µg",2.0,08,194,,
34,"Cloro, mg",100,08,194,,
35,"Iodio, µg",63,08,183,2,"""Whole milk yogurt"" acqua 81,9, prot 5,7, lip 3"
36,"Manganese, mg",tr,08,194,,
37,"Zolfo, mg",53,08,184,2,
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",0.03,08,194,,
40,"Vitamina B2, Riboflavina, mg",0.36,08,194,,
41,"Vitamina C, mg",tr,08,194,,
42,"Niacina, mg",0.06,08,194,,
43,"Vitamina B6, mg",0.05,08,194,,
44,"Folati totali, µg",6,08,194,,
45,"Acido pantotenico, mg",0.50,08,184,2,
46,"Biotina, µg",2.6,08,184,2,
47,"Vitamina B12, µg",0.2,08,194,,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",121,08,194,3B,
51,"Retinolo, µg",115,08,194,,
52,"ß-carotene eq., µg",36,08,194,,
53,"Vitamina E (ATE), mg",0.38,08,194,,
54,"Vitamina D, µg",0.05,08,194,,
55,ACIDI GRASSI,,,,,
56,"Acidi grassi saturi totali, g",4.83,AO,150010,3A,"Yogurt da latte intero lip 3.9AcGrSaturiTot2.07, SommaAcButirrico,caproico,caprilico,caprico0.33, AcLaurico0.12, AcMiristico0.36, AcPalmitico0.92, AcStearico0.34, AcArachidico0, AcBeenico0, AcGrMonoinsaturiTot0.84, AcMiristoleico0, AcPalmitoleico0.01, AcOleico0.83, AcEicosenoico0, AcErucico0, AcGrPolinstauriTot0.13, AcLinoleico0.08, AcLinolenico0.05, AcArachidonico0, AcEicosapentaenoico(EPA)0, AcDecosaesaenoico(DHA)0, AltriAcGrPolinsaturi"
57,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",0.77,AO,150010,3A,
58,"Acido laurico, g",0.28,AO,150010,3A,
59,"Acido miristico, g",0.84,AO,150010,3A,
60,"Acido palmitico, g",2.15,AO,150010,3A,
61,"Acido stearico, g",0.79,AO,150010,3A,
62,"Acido arachidico, g",0.00,AO,150010,3A,
63,"Acido beenico, g",0.00,AO,150010,3A,
64,"Acidi grassi monoinsaturi totali, g",1.96,AO,150010,3A,
65,"Acido miristoleico, g",0.00,AO,150010,3A,
66,"Acido palmitoleico, g",0.02,AO,150010,3A,
67,"Acido oleico, g",1.94,AO,150010,3A,
68,"Acidi eicosenoico, g",0.00,AO,150010,3A,
69,"Acido erucico, g",0.00,AO,150010,3A,
70,"Acidi grassi polinsaturi totali, g",0.30,AO,150010,3A,
71,"Acido linoleico, g",0.19,AO,150010,3A,
72,"Acido linolenico, g",0.12,AO,150010,3A,
