,0,1,2,3,4,5
1,Categoria merceologica: 2004 - crucifere,,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",51,02,309,,
6,"Energia, ricalcolata, kJ",115,86,,,
7,"Energia, Ric con fibra, kJ",140,86,,,
8,"Energia, ricalcolata, kcal",27,86,,,
9,"Energia, Ric con fibra, kcal",33,86,,,
10,"Proteine totali, g",30,02,309,,
11,"Proteine animali, g",00,02,309,,
12,"Proteine vegetali, g",30,02,309,,
13,"Lipidi totali, g",04,02,309,,
14,"Lipidi animali, g",00,02,309,,
15,"Lipidi vegetali, g",04,02,309,,
16,"Colesterolo, mg",0,02,309,,
17,"Carboidrati disponibili (MSE), g",31,02,309,,
18,"Amido (MSE), g",00,02,309,,
19,"Carboidrati solubili (MSE), g",31,02,309,,
20,"Fibra alimentare totale, g",31,02,309,,
21,"Alcol, g",00,02,309,,
22,"Acqua, g",903,02,309,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",08,02,309,,
25,"Calcio, mg",28,02,309,,
26,"Sodio, mg",12,02,309,,
27,"Potassio, mg",340,02,309,,
28,"Fosforo, mg",66,02,309,,
29,"Zinco, mg",060,03,6009,,non RIPR acqua=90g
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",004,02,309,,
32,"Vitamina B2, Riboflavina, mg",012,02,309,,
33,"Vitamina C, mg",54,02,309,,
34,"Niacina, mg",180,02,309,,
35,"Vitamina B6, mg",017,09,174,,per i nutrienti 09/174 RIPR acqua=85.7g B6=0.25mg
36,"Folati totali, µg",132,09,174,,folati=195mcg
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",2,02,309,,
40,"Retinolo, µg",0,02,309,,
41,"ß-carotene eq., µg",12,02,309,,CALC
42,"Vitamina E (ATE), mg",088,09,174,,vitE=1.3mg
43,"Vitamina D, µg",000,02,309,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",006,21,11090,,RIPR lip=0.35g saturi=0.054g 18:1=0.024g mono=0.024g 18:2=0.038g 18:3=0.129g altri PUFA=0 PUFA=0.167g
46,"Acidi grassi monoinsaturi totali, g",003,21,11090,,
47,"Acido oleico, g",003,21,11090,,
48,"Acidi grassi polinsaturi totali, g",019,21,11090,,
49,"Acido linoleico, g",004,21,11090,,
50,"Acido linolenico, g",015,21,11090,,
51,"Altri acidi grassi polinsaturi, g",000,86,,,
