,0,1,2,3,4,5
1,Note Alimento: Ovino maschio castrato durante l'allattamento materno,,,,,
2,"Categoria merceologica: 10080 - carne di ovino (pecora, agnello, capra)",,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",74,03,2214,,"in nota ""Castrato, bistecche"""
7,"Energia, ricalcolata, kJ",944,86,,,
8,"Energia, Ric con fibra, kJ",944,86,,,
9,"Energia, ricalcolata, kcal",227,86,,,
10,"Energia, Ric con fibra, kcal",227,86,,,
11,"Proteine totali, g",16.8,03,2214,,
12,"Proteine animali, g",16.8,03,2214,,
13,"Proteine vegetali, g",0.0,03,2214,,
14,"Lipidi totali, g",17.8,03,2214,,
15,"Lipidi animali, g",17.8,03,2214,,
16,"Lipidi vegetali, g",0.0,03,2214,,
17,"Colesterolo, mg",77,T,158,2,"""Lamb, mince raw"" acqua=67.1g (range 63-71.6), lip=13.3g (range 8.1 -22.8), prot=19.1g"
18,"Carboidrati disponibili (MSE), g",0.0,03,2214,,
19,"Amido (MSE), g",0.0,03,2214,,
20,"Carboidrati solubili (MSE), g",0.0,03,2214,,
21,"Fibra alimentare totale, g",0.0,03,2214,,
22,"Alcol, g",0.0,03,2214,,
23,"Acqua, g",64.5,86,,5,"media aritmetica tra castrato c.magra (03/2213, acqua=76g) e castrato c.grassa (03/2215, acqua=53g)"
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",1.9,03,2214,,
26,"Calcio, mg",9,03,2214,,
27,"Sodio, mg",69,T,158,2,
28,"Potassio, mg",310,T,158,2,
29,"Fosforo, mg",174,03,2214,,
30,"Zinco, mg",3.50,T,158,2,
31,"Magnesio, mg",21,T,158,2,
32,"Rame, mg",0.08,T,158,2,
33,"Selenio, µg",2.0,T,158,2,
34,"Cloro, mg",68,T,158,2,
35,"Iodio, µg",6,T,158,,
36,"Manganese, mg",0.01,T,158,2,
37,"Zolfo, mg",160,Y,6381,2,"""Lamb, breast"" acqua 65, prot 17,1, lip 17,1"
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",0.14,03,2214,,
40,"Vitamina B2, Riboflavina, mg",0.19,03,2214,,
41,"Vitamina C, mg",0,03,2214,,
42,"Niacina, mg",4.70,03,2214,,
43,"Vitamina B6, mg",0.20,T,158,2,
44,"Folati totali, µg",2,T,158,2,
45,"Acido pantotenico, mg",0.90,T,158,2,
46,"Biotina, µg",2.0,T,158,2,
47,"Vitamina B12, µg",2.0,T,158,2,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",5,T,158,3B,
51,"Retinolo, µg",5,T,158,2,
52,"ß-carotene eq., µg",tr,T,158,2,
53,"Vitamina E (ATE), mg",0.18,T,158,2,
54,"Vitamina D, µg",0.80,BF,449,2,
55,ACIDI GRASSI,,,,,
56,"Acidi grassi saturi totali, g",8.66,AO,104020,3A,"Agnello, crudo lip 8.8AcGrSaturiTot4.28, SommaAcButirrico,caproico,caprilico,caprico0.01, AcLaurico0.01, AcMiristico0.44, AcPalmitico1.99, AcStearico1.72, AcArachidico0, AcBeenico0, AcGrMonoinsaturiTot3.33, AcMiristoleico0, AcPalmitoleico0.11, AcOleico3.14, AcEicosenoico0, AcErucico0, AcGrPolinstauriTot0.42, AcLinoleico0.21, AcLinolenico0.21, AcArachidonico0, AcEicosapentaenoico(EPA)0, AcDecosaesaenoico(DHA)0, AltriAcGrPolinsaturi-3"
57,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",0.02,AO,104020,3A,
58,"Acido laurico, g",0.02,AO,104020,3A,
59,"Acido miristico, g",0.89,AO,104020,3A,
60,"Acido palmitico, g",4.03,AO,104020,3A,
