,0,1,2,3,4,5
1,"Note Alimento: Nome Oiriginale: ""Grape juice, unsweetened""",,,,,
2,Categoria merceologica: 4010 - succhi e spremute di frutta,,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",100,L,273,,
7,"Energia, ricalcolata, kJ",196,86,,,
8,"Energia, Ric con fibra, kJ",196,86,,,
9,"Energia, ricalcolata, kcal",46,86,,,
10,"Energia, Ric con fibra, kcal",46,86,,,
11,"Proteine totali, g",03,L,273,,
12,"Proteine animali, g",00,LZ,,,
13,"Proteine vegetali, g",03,L,273,,
14,"Lipidi totali, g",01,L,273,,
15,"Lipidi animali, g",00,LZ,,,
16,"Lipidi vegetali, g",01,L,273,,
17,"Colesterolo, mg",0,LZ,,,
18,"Carboidrati disponibili (MSE), g",117,L,273,,
19,"Amido (MSE), g",00,L,273,,
20,"Carboidrati solubili (MSE), g",117,L,273,,
21,"Fibra alimentare totale, g",00,L,273,,
22,"Alcol, g",00,LZ,,,
23,"Acqua, g",854,L,273,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",09,L,273,,
26,"Calcio, mg",19,L,273,,
27,"Sodio, mg",7,L,273,,
28,"Potassio, mg",55,L,273,,
29,"Fosforo, mg",14,L,273,,
30,"Zinco, mg",010,L,273,,
31,"Magnesio, mg",7,BF,1123,,
32,"Rame, mg",tr,BF,1123,,
33,"Selenio, µg",10,BF,1123,,
34,"Cloro, mg",6,BF,1123,,
35,"Iodio, µg",1,DN,1001102,2,"""Succo d'uva"" WATER 83.5g, PROT 0.2g, FAT 0.1g, CHO 15g, SUGAR 14.8g"
36,"Manganese, mg",010,BF,1123,,
37,"Zolfo, mg",6,L,273,,
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",tr,L,273,,
40,"Vitamina B2, Riboflavina, mg",001,L,273,,
41,"Vitamina C, mg",tr,L,273,,
42,"Niacina, mg",010,L,273,,
43,"Vitamina B6, mg",004,L,273,,
44,"Folati totali, µg",1,L,273,,
45,"Acido pantotenico, mg",003,BF,1123,,
46,"Biotina, µg",10,BF,1123,,
47,"Vitamina B12, µg",00,LZ,,,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",tr,L,273,3B,
51,"Retinolo, µg",0,LZ,,,
52,"ß-carotene eq., µg",tr,L,273,,
53,"Vitamina E (ATE), mg",tr,L,273,,
54,"Vitamina D, µg",000,LZ,,,
55,"Vitamina K, µg",040,DI,09135,6,"""Grape juice, canned or bottled, unsweetened, without added ascorbic acid"" WATER 84.51g, PROT 0.37g, FAT 0.13g, CHO 14.77g, SUGAR 14.2g"
56,ACIDI GRASSI,,,,,
57,"Acidi grassi saturi totali, g",002,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84.51g, PROT 0.37g, FAT 0.13g, CHO 14.57g, SUGAR 14.2g, FASAT 0.025g"
58,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84.51g, PROT 0.37g, FAT 0.13g, F4-10:0 0g"
59,"Acido laurico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, F12:0 0g"
60,"Acido miristico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, CHO 14,57g, SUGAR 14,2g, F14:0 0,001g"
61,"Acido palmitico, g",002,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, CHO 14,57g, SUGAR 14,2g, F16:0 0,021g"
62,"Acido stearico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, CHO 14,57g, SUGAR 14,2g, F18:0 0,003g"
63,"Acido arachidico, g",000,87,,,
64,"Acido beenico, g",000,87,,,
65,"Acidi grassi monoinsaturi totali, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, CHO 14,57g, SUGAR 14,2g, FAMS 0,003g"
66,"Acido miristoleico, g",000,87,,,
67,"Acido palmitoleico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, F16:1CN7 0g"
68,"Acido oleico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, CHO 14,57g, SUGAR 14,2g, F18:1 0,003g"
69,"Acidi eicosenoico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Added Vitamin C WATER 84,51g, PROT 0,37g, FAT 0,13g, F20:1 0g"
70,"Acido erucico, g",000,DI,09135,3A,"Grape Juice, Canned Or Bottled, Unsweetened, Without Add Vit C WATER 84,51g, PROT 0,37g, FAT 0,13g, F22:1CN9 0g"
71,"Acidi grassi polinsaturi totali, g",002,DI,09135,3A,"Grape Juice, Cann Or Bottl, Unsweet, Witho Add Vita C WATER 84,51g, PROT 0,37g, FAT 0,13g, FAPU 0,022g"
